[22:04:51] [trace   ] iKAN: Initializing...
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.018874168
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.016702175
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.0151081085
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.018441439
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.016492128
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.015136957
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.01773429
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.01653552
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.015712738
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.018043518
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.016248941
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.016859531
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.016676426
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.017122507
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.015690804
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.017521381
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.016826868
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.01497221
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.018238068
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.0146791935
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.017279387
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.017563343
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.016596079
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.015756845
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.017680883
[22:04:53] [info    ] iKAN: 3.0, -6.8287883, 0.014910936
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.019385815
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01654625
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.014967203
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01685524
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016938448
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016058207
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.017732859
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.018784761
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.013910055
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016801596
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.019528866
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.013256311
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.019630432
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.013208151
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.018255949
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.014951229
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.018831968
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016553879
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.015288353
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.01756692
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016346455
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016316414
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.016763926
[22:04:54] [info    ] iKAN: 3.0, -6.8287883, 0.018661022
